model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
gemma4_e2b,chain_of_thought,zero_shot,uncapped,outcome,100,3.9858506651921197,0.6529616772116771,0.6928437950937952,0.6326416478258576,0.24631587095423357,0.11696166680767486,0.18853389926857222,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23993767066652044
gemma4_e2b,chain_of_thought,zero_shot,uncapped,union,100,3.9858506651921197,0.6550585526332598,0.6805778259314907,0.6504000795095269,0.2601120080681202,0.11827132363379811,0.16621839811435662,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.18938497587375977
gemma4_e2b,chain_of_thought_trace,one_shot,capped,approach,100,4.192869604612934,0.6658333333333333,0.5871854256854256,0.605592063165592,0.22773049327465902,0.12102082120520771,0.18122871794227666,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2649497028916066
gemma4_e2b,chain_of_thought_trace,one_shot,capped,challenge,100,4.192869604612934,0.5491666666666667,0.4417857142857143,0.46080924630924613,0.25398473606166677,0.10251607234084922,0.19172240640239172,0.4220026765441394,0.226199582941474,0.37142590290099414,0.1797034964986025
gemma4_e2b,chain_of_thought_trace,one_shot,capped,outcome,100,4.192869604612934,0.6725,0.5801240981240979,0.5908089133089129,0.2704360377645789,0.12530376715132793,0.20595061347688645,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.22252095645820624
gemma4_e2b,chain_of_thought_trace,one_shot,capped,union,100,4.192869604612934,0.7378687423687424,0.5573596399095286,0.6216080675821702,0.3117431394230451,0.1387950026074132,0.19528598223787427,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16031739175024204
gemma4_e2b,chain_of_thought_trace,one_shot,uncapped,approach,100,4.089242448057048,0.6783628871128871,0.6732994227994227,0.643849115298186,0.22245684849888495,0.11918614573950562,0.17947726455357987,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.26670115628030355
gemma4_e2b,chain_of_thought_trace,one_shot,uncapped,challenge,100,4.089242448057048,0.5089722222222222,0.4848015873015874,0.4556367570338157,0.23879900022573422,0.09932484577726206,0.18020283428434966,0.4220026765441394,0.226199582941474,0.37142590290099414,0.1912230686166445
gemma4_e2b,chain_of_thought_trace,one_shot,uncapped,outcome,100,4.089242448057048,0.6015915750915751,0.7235266955266954,0.6192018804097139,0.2416701734867668,0.12023042124228749,0.18634465120595803,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.24212691872913486
gemma4_e2b,chain_of_thought_trace,one_shot,uncapped,union,100,4.089242448057048,0.6776226860944354,0.6574089583932767,0.6536149438396525,0.27277241760136045,0.12587350785628937,0.17643377369442276,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1791696002936935
gemma4_e2b,contrastive_joint,one_shot,capped,approach,100,3.1973155115230476,0.6955000000000001,0.5493315295815296,0.5899163336663334,0.24984526028730764,0.12699409909495038,0.19939685844095906,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.24678156239292423
gemma4_e2b,contrastive_joint,one_shot,capped,challenge,100,3.1973155115230476,0.5025,0.3960357142857142,0.41058319458319437,0.251146099672579,0.09647490093499479,0.18648699943363756,0.4220026765441394,0.226199582941474,0.37142590290099414,0.18493890346735667
gemma4_e2b,contrastive_joint,one_shot,capped,outcome,100,3.1973155115230476,0.7191666666666667,0.5077550505050504,0.5611682206682204,0.28201116949414756,0.12265712404204743,0.21729022102989073,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.21118134890520207
gemma4_e2b,contrastive_joint,one_shot,capped,union,100,3.1973155115230476,0.7207270229770226,0.5008697682830474,0.5803845766859868,0.3207333815129762,0.1368590539747689,0.20108311076531732,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.15452026322279913
gemma4_e2b,contrastive_joint,one_shot,uncapped,approach,100,3.4343833390122747,0.6822581307581308,0.5894235209235208,0.6007948760270403,0.23768346633708767,0.12331653192971313,0.1906134243783927,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2555649964554906
gemma4_e2b,contrastive_joint,one_shot,uncapped,challenge,100,3.4343833390122747,0.4931706349206349,0.4646785714285715,0.4318382728382726,0.23577198047773565,0.09350883139921529,0.17591958965025575,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19550631325073847
gemma4_e2b,contrastive_joint,one_shot,uncapped,outcome,100,3.4343833390122747,0.6892063492063493,0.5794339826839826,0.595821624453977,0.2663494510296575,0.12047985201387651,0.20565742407618073,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.222814145858912
gemma4_e2b,contrastive_joint,one_shot,uncapped,union,100,3.4343833390122747,0.6992279111852235,0.5770013685929691,0.6165274788300309,0.2956447449050776,0.13037709521447172,0.19020499689300455,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16539837709511176
gemma4_e2b,contrastive_joint,zero_shot,capped,approach,100,3.189253881626064,0.6968333333333334,0.6017362914862914,0.6205424297924295,0.23874400229513626,0.1285488628599908,0.18959432426153178,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2565840965723516
gemma4_e2b,contrastive_joint,zero_shot,capped,challenge,100,3.189253881626064,0.515,0.459611111111111,0.45397974247974227,0.24433785286235146,0.09399367984493313,0.1838642419371458,0.4220026765441394,0.226199582941474,0.37142590290099414,0.18756166096384835
gemma4_e2b,contrastive_joint,zero_shot,capped,outcome,100,3.189253881626064,0.7608333333333335,0.64468759018759,0.669540015540015,0.2899157180905364,0.1412352152473398,0.2239238939287532,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.20454767600633952
gemma4_e2b,contrastive_joint,zero_shot,capped,union,100,3.189253881626064,0.730233877233877,0.5825317514947177,0.6387228677824185,0.3041150671212931,0.13725205121294567,0.19138085226401827,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1642225217240982
gemma4_e2b,contrastive_joint,zero_shot,uncapped,approach,100,3.0325453051365914,0.6840970140970144,0.6993033910533907,0.6512995808457106,0.2202114723091034,0.1198262485683652,0.17750388880099713,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2686745320328861
gemma4_e2b,contrastive_joint,zero_shot,uncapped,challenge,100,3.0325453051365914,0.4834610389610389,0.5505436507936508,0.4706347263847262,0.22291093174280516,0.08841468976671278,0.16644282271743457,0.4220026765441394,0.226199582941474,0.37142590290099414,0.20498308018355962
gemma4_e2b,contrastive_joint,zero_shot,uncapped,outcome,100,3.0325453051365914,0.7131717171717173,0.7322803030303031,0.685991467768557,0.2666004301571434,0.13366529112819572,0.20749030759565815,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.22098126233943455
gemma4_e2b,contrastive_joint,zero_shot,uncapped,union,100,3.0325453051365914,0.6740227064043626,0.692100822787389,0.6691364768780406,0.2660271356479919,0.1230277807301761,0.1690923029568444,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.18651107103127196
gemma4_e2b,explanation_based,one_shot,capped,approach,100,3.1374224304931704,0.675,0.5664621212121214,0.5922974721357072,0.24231180862570711,0.1254529946160949,0.19343336702067393,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.25274505381320933
gemma4_e2b,explanation_based,one_shot,capped,challenge,100,3.1374224304931704,0.44583333333333336,0.38964285714285707,0.39339704739704723,0.23761418837372525,0.08590658387775026,0.1725663894188736,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19885951348212064
gemma4_e2b,explanation_based,one_shot,capped,outcome,100,3.1374224304931704,0.6758333333333334,0.5401558441558441,0.5635482850482848,0.2734518523394126,0.11880382625121427,0.20922941215328308,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2192421577818098
gemma4_e2b,explanation_based,one_shot,capped,union,100,3.1374224304931704,0.7098476523476525,0.5243740162000694,0.5943991148702563,0.3106012745230177,0.13442951995535576,0.1970944948877558,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.15850887910036057
gemma4_e2b,explanation_based,one_shot,uncapped,approach,100,3.3713783656735905,0.6495133477633478,0.6003524531024531,0.5965756513867967,0.22784815138820563,0.11895762232909343,0.1818816702088728,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.26429675062501057
gemma4_e2b,explanation_based,one_shot,uncapped,challenge,100,3.3713783656735905,0.4597380952380953,0.4304563492063492,0.4145390720390718,0.23331952278423848,0.08842356397564778,0.17059625277156987,0.4220026765441394,0.226199582941474,0.37142590290099414,0.20082965012942433
gemma4_e2b,explanation_based,one_shot,uncapped,outcome,100,3.3713783656735905,0.6579444444444446,0.6151006493506493,0.6020996177025585,0.25647544337915745,0.11399367001503802,0.19667191019384106,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23179965974125166
gemma4_e2b,explanation_based,one_shot,uncapped,union,100,3.3713783656735905,0.7007435654300975,0.5787452996275345,0.6228657454303669,0.2946976967673831,0.13112533890290787,0.18803886814636728,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16756450584174915
gemma4_e2b,explanation_based,zero_shot,capped,approach,100,2.943145205061883,0.6835,0.6253939393939393,0.6268876434023489,0.22958748710064164,0.1219169058458327,0.18107638698411052,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.26510203384977266
gemma4_e2b,explanation_based,zero_shot,capped,challenge,100,2.943145205061883,0.47583333333333333,0.46541666666666665,0.4416411366411365,0.24030589895265084,0.09021889257793679,0.17790936419063377,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19351653871036034
